distance_m,combined_delta_s,wp1232_delta_s,wp2501_delta_s,expected_additive_delta_s,interaction_s,interaction_standard_error_s
244.0,-1.4210854715202005e-15,0.010000000000002274,-1.4210854715202005e-15,0.010000000000000854,-0.010000000000002274,0.0100000000000005
246.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
248.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
250.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
252.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
254.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
256.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
258.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
260.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
262.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
264.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
266.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
268.0,-1.4210854715202005e-15,2.1316282072803005e-15,-1.4210854715202005e-15,7.105427357601e-16,-2.1316282072803005e-15,3.4261129972154534e-15
